rank,release_date,title,production_budget,worlwide_gross,domestic_gross
1875,12/31/2002,Confessions of a Dangerous Mind,29000000,33013805,16007718
103,01/07/03,Terminator 3: Rise of the Machines,170000000,433058296,150358296
917,01/08/03,American Wedding,55000000,126425115,104354205
975,01/08/03,Gigli,54000000,7126002,6087542
809,1/17/2003,Kangaroo Jack,60000000,90723216,66723216
2424,1/17/2003,A Guy Thing,20000000,17430594,15543862
4313,1/17/2003,Cidade de Deus,3300000,32059295,7563397
3011,1/24/2003,Amen,14000000,274299,274299
3716,1/24/2003,Darkness Falls,7000000,47289758,32539681
1980,1/31/2003,Final Destination 2,26000000,90396664,46896664
3274,1/31/2003,The Guru,11000000,24150550,3051221
5061,1/31/2003,The R.M.,500000,1111615,1111615
1845,02/04/03,The Good Thief,30000000,6460758,3517797
237,02/05/03,X2,125000000,407711549,214949694
2820,02/05/03,The Lizzie McGuire Movie,15000000,55534455,42734455
3439,02/05/03,Owning Mahowny,10000000,1011054,1011054
4890,02/05/03,Blue Car,1000000,475367,464126
860,02/07/03,Sinbad: Legend of the Seven Seas,60000000,80767884,26483452
2016,02/07/03,Legally Blonde 2: Red White & Blonde,25000000,125339088,90639088
507,2/14/2003,Daredevil,80000000,182782518,102543518
2343,2/14/2003,The Jungle Book 2,20000000,140122225,47901582
3772,2/14/2003,Gerry,7000000,719699,254683
4886,2/14/2003,All the Real Girls,1000000,703020,549666
960,2/21/2003,Gods and Generals,55000000,12923936,12882934
1098,2/21/2003,The Life of David Gale,50000000,28920188,19694635
2166,2/21/2003,Old School,24000000,86765463,75155000
2893,2/21/2003,Dark Blue,15000000,12262065,9237470
2066,2/28/2003,Cradle 2 the Grave,25000000,56434942,34657731
