rank,release_date,title,production_budget,worlwide_gross,domestic_gross
578,5/27/2005,Madagascar,75000000,556559566,193595521
4486,5/27/2005,Saving Face,2500000,1269705,1187266
305,06/05/05,Kingdom of Heaven,110000000,218853353,47398413
1565,06/05/05,House of Wax,35000000,70064800,32064800
3701,06/05/05,Crash,7303082,101173038,55334418
5172,06/05/05,Fighting Tommy Riley,300000,10514,10514
146,6/15/2005,Batman Begins,150000000,359142722,205343774
3369,6/17/2005,The Perfect Man,10000000,19535005,16535005
4571,6/17/2005,Me and You and Everyone We Know,2000000,9615464,3885134
4690,6/17/2005,My Summer of Love,1700000,4727375,1000915
1037,6/22/2005,Herbie: Fully Loaded,50000000,144110682,66010682
527,6/24/2005,Bewitched,80000000,131159306,63313159
2556,6/24/2005,George A. Romero's Land of the Dead,18975000,47751015,20700082
4303,6/24/2005,La marche de l'empereur,3400000,133276359,77437223
4691,6/24/2005,Yes,1700000,661221,396035
5011,6/24/2005,Rize,700000,4857731,3278611
209,6/29/2005,War of the Worlds,132000000,606836535,234280354
3313,07/01/05,White Noise,10000000,92094360,56094360
4672,07/01/05,Travellers and Magicians,1800000,1322161,506793
5247,07/01/05,Solitude,200000,6260,6260
2396,07/10/05,2 For the Money,20000000,30491379,22991379
3718,07/10/05,Good Night and Good Luck,7000000,56586901,31501218
4823,07/10/05,Waiting...,1125000,18673274,16124543
2136,07/12/05,The World's Fastest Indian,25000000,18991288,5128124
5388,7/13/2005,Return to the Land of Wonders,5000,1338,1338
143,7/15/2005,Charlie and the Chocolate Factory,150000000,475825484,206459076
1277,7/15/2005,The Wedding Crashers,40000000,283218368,209218368
5164,7/15/2005,First Morning,300000,87264,87264
5201,7/15/2005,On the Outs,250000,237816,49772
269,7/22/2005,The Island,120000000,163018913,35818913
1563,7/22/2005,The Bad News Bears,35000000,33500620,32868349
3730,7/22/2005,The Devil's Rejects,7000000,20940428,17044981
4444,7/22/2005,Hustle & Flow,2800000,23591783,22202809
5196,7/22/2005,November,250000,191862,191862
195,7/29/2005,Stealth,138000000,76416746,32116746
1530,7/29/2005,Sky High,35000000,83109359,63939454
1546,7/29/2005,Must Love Dogs,35000000,58405313,43894863
178,08/04/05,Sahara,145000000,121671925,68671925
1350,08/04/05,Fever Pitch,40000000,50071069,42071069
2418,08/04/05,Kung Fu Hustle,20000000,102034104,17104669
436,08/07/05,Fantastic Four,87500000,330717080,154696080
861,08/07/05,Dark Water,60000000,49473093,25473093
5146,08/07/05,Murderball,350000,1772979,1531154
1846,8/17/2005,Supercross,30000000,3252550,3102550
1588,8/19/2005,Valiant,35000000,64188387,19478106
1968,8/19/2005,The 40 Year-old Virgin,26000000,177344230,109449237
1976,8/19/2005,Red Eye,26000000,96666486,57891803
536,8/26/2005,The Brothers Grimm,80000000,105299638,37899638
1824,8/26/2005,The Cave,30000000,27147991,15007991
3544,8/26/2005,Undiscovered,9000000,1069318,1069318
2004,8/31/2005,The Constant Gardener,25500000,86301599,33579798
1837,09/09/05,An Unfinished Life,30000000,18535575,8535575
2460,09/09/05,The Man,20000000,10393696,8330720
2571,09/09/05,The Exorcism of Emily Rose,18000000,144529078,75072454
5244,09/09/05,Side Effects,200000,44701,44701
1371,09/11/05,Get Rich or Die Tryin',40000000,46666955,30981850
72,09/12/05,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,180000000,720539572,291710957
460,09/12/05,Memoirs of a Geisha,85000000,161510853,57010853
2448,09/12/05,Mrs. Henderson Presents,20000000,27836366,11036366
3016,09/12/05,Brokeback Mountain,13900000,177012173,83043761
4776,09/12/05,Neal n' Nikki,1300000,329621,100358
887,9/16/2005,Just Like Heaven,58000000,100687083,48318130
1263,9/16/2005,Lord of War,42000000,60437727,24149632
2147,9/16/2005,Venom,25000000,881745,881745
2467,9/16/2005,Proof,20000000,8284331,7535331
4206,9/16/2005,Thumbsucker,4000000,1919197,1328679
4851,9/16/2005,Cry Wolf,1000000,15943081,10047674
4907,9/16/2005,Chocolate: Deep Dark Secrets,1000000,1549000,49000
753,9/23/2005,Oliver Twist,65000000,26670920,2070920
923,9/23/2005,Flightplan,55000000,214392904,89706988
1678,9/23/2005,A History of Violence,32000000,61477797,31493782
1753,9/23/2005,The Corpse Bride,30000000,114770654,53359111
3366,9/23/2005,Roll Bounce,10000000,17433072,17380866
3663,9/23/2005,Dear Wendy,8000000,446438,23106
4701,9/23/2005,Dil Jo Bhi Kahey...,1600000,129319,129319
4932,9/23/2005,Proud,1000000,0,0
4742,9/28/2005,Forty Shades of Blue,1500000,172569,75828
1100,9/30/2005,Into the Blue,50000000,41982227,18782227
1441,9/30/2005,Serenity,39000000,40319440,25514517
2104,9/30/2005,The Greatest Game Ever Played,25000000,15468266,15331289
3208,9/30/2005,Duma,12000000,994790,870067
3719,9/30/2005,Capote,7000000,49924079,28750530
4208,9/30/2005,MirrorMask,4000000,973613,864959
4414,9/30/2005,My Big Fat Independent Movie,3000000,4655,4655
284,10/06/05,Mr. and Mrs. Smith,110000000,486124090,186336279
1066,10/06/05,The Adventures of Sharkboy and Lavagirl in 3-D,50000000,69425966,39177684
1954,10/06/05,The Honeymooners,27000000,13174426,12834849
2191,10/06/05,Hauru no ugoku shiro,24000000,237814327,4710455
2194,10/06/05,The Bridge of San Luis Rey,24000000,1696765,49981
4441,10/06/05,High Tension,2850000,6435262,3681066
5135,10/13/2005,The Dark Hours,400000,423,423
974,10/14/2005,Elizabethtown,54000000,50719373,26850426
1108,10/14/2005,Domino,50000000,22969202,10169202
2148,10/14/2005,Where the Truth Lies,25000000,1415656,872142
2592,10/14/2005,The Fog,18000000,37048526,29511112
673,10/21/2005,Doom,70000000,54612337,28212337
1677,10/21/2005,Dreamer: Inspired by a True Story,32000000,39498360,33022286
1814,10/21/2005,North Country,30000000,23676771,18324242
2912,10/21/2005,Kiss Kiss Bang Bang,15000000,16829464,4235837
3685,10/21/2005,Shopgirl,7500000,11758418,10284523
3815,10/21/2005,The Work and the Glory: American Zion,6500000,2025032,2025032
5082,10/21/2005,The Californians,500000,4134,4134
532,10/28/2005,The Legend of Zorro,80000000,141475336,45575336
2442,10/28/2005,The Weather Man,20000000,15466961,12482775
3957,10/28/2005,Saw II,5000000,152925093,87025093
908,11/02/05,Hitch,55000000,366784257,177784257
2413,11/02/05,Pooh's Heffalump Movie,20000000,55686944,18098433
3746,11/02/05,Bride & Prejudice,7000000,25269040,6601079
4588,11/02/05,Inside Deep Throat,2000000,691880,691880
499,11/03/05,Robots,80000000,260700012,128200012
607,11/03/05,Hostage,75000000,77636443,34636443
3166,11/03/05,The Upside of Anger,12000000,28915761,18761993
744,11/11/05,Zathura,65000000,58545540,28045540
1905,11/11/05,Pride & Prejudice,28000000,126549607,38372662
2245,11/11/05,Derailed,22000000,57520063,36020063
138,11/18/2005,Harry Potter and the Goblet of Fire,150000000,896911078,290013036
1865,11/18/2005,Walk the Line,29000000,187707495,119519402
1047,11/23/2005,Syriana,50000000,92690959,50824620
1189,11/23/2005,Yours Mine and Ours,45000000,72359917,53359917
1375,11/23/2005,Rent,40000000,31670620,29077547
2271,11/23/2005,The Libertine,22000000,9448623,4835065
873,12/08/05,The Great Raid,60000000,10597070,10166502
1342,12/08/05,The Skeleton Key,40000000,92256918,47907715
1733,12/08/05,Four Brothers,30000000,92494381,74494381
2252,12/08/05,Deuce Bigalow: European Gigolo,22000000,45273464,22400154
3898,12/08/05,11.14,6000000,0,0
35,12/14/2005,King Kong,207000000,550517357,218080025
2909,12/14/2005,Los tres entierros de Melquiades Estrada,15000000,13454474,5027684
1213,12/16/2005,The Producers: The Movie Musical,45000000,32952995,19398532
2574,12/16/2005,The Family Stone,18000000,92357499,60062868
189,12/21/2005,Fun With Dick And Jane,140000000,203018919,110550000
797,12/21/2005,Cheaper by the Dozen 2,60000000,135015330,82571173
2770,12/21/2005,The White Countess,16000000,2814566,1669971
597,12/23/2005,Munich,75000000,131492772,47379090
3639,12/23/2005,Caché,8000000,19891331,3647381
665,12/25/2005,Rumor Has It,70000000,88933562,42996140
1828,12/25/2005,The New World,30000000,26184400,12712093
4825,12/25/2005,Wolf Creek,1100000,29005064,16186348
2854,12/28/2005,Match Point,15000000,87973835,23089926
3380,12/30/2005,The Matador,10000000,17300838,12589255
2944,12/31/2005,Dungeons & Dragons: Wrath of the Dragon God,15000000,909822,0
4531,12/31/2005,Chicken Tikka Masala,2160000,37865,0
5091,12/31/2005,Insomnia Manica,500000,0,0
5335,12/31/2005,The Call of Cthulhu,50000,0,0
3152,01/09/06,Crank,12000000,43924923,27838408
3916,01/09/06,Crossover,5600000,7009668,7009668
4451,01/09/06,Lage Raho Munna Bhai,2700000,31517561,2217561
4511,01/09/06,Idiocracy,2400000,500296,444093
5349,01/09/06,Mutual Appreciation,30000,103509,103509
4295,01/10/06,The Secret,3500000,0,0
1553,01/12/06,The Nativity Story,35000000,46309644,37629831
3400,01/12/06,Turistas,10000000,14321070,7027762
1198,1/13/2006,Last Holiday,45000000,43343247,38399961
1769,1/13/2006,Glory Road,30000000,42799060,42647449
2659,1/13/2006,Hoodwinked,17500000,109843390,51386611
1182,1/20/2006,Underworld: Evolution,45000000,113417762,62318875
3383,1/20/2006,End of the Spear,10000000,11924041,11748661
4854,1/20/2006,Transamerica,1000000,16553163,9015303
1316,1/27/2006,Big Momma's House 2,40000000,137047376,70165972
2045,1/27/2006,Nanny McPhee,25000000,128745578,47279279
2957,1/27/2006,Manderlay,14200000,543306,74205
3673,1/27/2006,Imagine Me & You,7900000,3129471,672243
3943,1/27/2006,Rang De Basanti,5300000,29197694,2197694
4100,1/27/2006,Tristram Shandy: A Cock and Bull Story,4750000,3061763,1253413
4700,1/27/2006,Bubble,1600000,145382,145382
989,02/06/06,The Break-Up,52000000,205727307,118703275
2923,02/06/06,Banlieue 13,15000000,11599903,1200216
3424,02/06/06,Peaceful Warrior,10000000,3260179,2893666
5369,02/06/06,The Puffy Chair,15000,195254,194523
5126,02/08/06,Quinceanera,400000,2797199,1692693
1305,2/17/2006,Eight Below,40000000,120455994,81612565
2341,2/17/2006,Date Movie,20000000,85146165,48548426
4155,2/17/2006,Nochnoy dozor,4200000,33913542,1502188
4289,2/17/2006,Winter Passing,3500000,113783,107492
2466,2/24/2006,Doogal,20000000,28058652,7578946
2702,2/24/2006,Running Scared,17000000,9729088,6855137
3312,2/24/2006,Madea's Family Reunion,10000000,63320521,63257940
4387,2/24/2006,Tsotsi,3000000,11537539,2912606
2815,03/02/06,When a Stranger Calls,15000000,67215435,47860214
1199,03/03/06,16 Blocks,45000000,65595141,36895141
1813,03/03/06,Ultraviolet,30000000,30962112,18522064
2275,03/03/06,Joyeux Noël,22000000,23134075,1054361
3167,03/03/06,Aquamarine,12000000,22978953,18597342
4355,03/03/06,Dave Chappelle's Block Party,3000000,12051924,11718595
171,03/11/06,Flushed Away,149000000,179357126,64665672
2565,03/11/06,Borat,18000000,261443242,128505958
3502,03/11/06,Volver,9400000,87226613,12899867
4262,03/11/06,Unknown,3700000,3355048,26403
1033,3/17/2006,V for Vendetta,50000000,130214162,70511035
2067,3/17/2006,She's the Man,25000000,55279608,33889159
3084,3/17/2006,Find Me Guilty,13000000,2898225,1173673
3680,3/17/2006,Thank You For Smoking,7500000,40016662,24793509
4407,3/17/2006,Sommersturm,3000000,95204,95204
4748,3/17/2006,Fetching Cody,1500000,0,0
1023,3/24/2006,Inside Man,50000000,185798265,88634237
2395,3/24/2006,Stay Alive,20000000,23187506,23086480
2694,3/24/2006,Larry the Cable Guy: Health Inspector,17000000,15680099,15680099
4437,3/24/2006,Boynton Beach Club,2900000,3127472,3127472
5070,3/24/2006,Lonesome Jim,500000,602789,154187
577,3/31/2006,Ice Age: The Meltdown,75000000,651899282,195330621
685,3/31/2006,Basic Instinct 2,70000000,35417162,5946136
2691,3/31/2006,ATL,17000000,21170563,21170563
2786,3/31/2006,Slither,15250000,12930343,7802450
4490,3/31/2006,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2500000,497195,349132
5112,3/31/2006,Brick,450000,4243996,2075743
4132,04/05/06,Chinjeolhan geumjassi,4500000,23471871,211667
618,04/08/06,Talladega Nights: The Ballad of Ricky Bobby,73000000,162870525,148213377
998,04/08/06,Barnyard: The Original Party Animals,51000000,118583844,72779000
3627,04/08/06,Bon Cop Bad Cop,8000000,12740705,12671300
3721,04/08/06,The Descent,7000000,57051053,26024456
4190,04/08/06,The Night Listener,4000000,10770993,7836393
4579,04/10/06,Shortbus,2000000,1985292,1985292
538,4/14/2006,The Wild,80000000,99010667,37384046
1297,4/14/2006,Scary Movie 4,40000000,178710620,90710620
4951,4/14/2006,Hard Candy,950000,8267066,1024640
845,4/21/2006,The Sentinel,60000000,78080697,36280697
1056,4/21/2006,Silent Hill,50000000,94704227,46982632
2700,4/21/2006,American Dreamz,17000000,16510971,7314027
4922,4/21/2006,In Her Line of Fire,1000000,884,884
927,4/28/2006,R.V.,55000000,87524497,71724497
2383,4/28/2006,Stick It,20000000,30399714,26910736
2590,4/28/2006,United 93,18000000,77635035,31567134
3494,4/28/2006,The Lost City,9600000,5256839,2484186
3617,4/28/2006,Akeelah and the Bee,8000000,18959424,18848430
4371,4/28/2006,Water,3000000,11322573,5529144
5373,4/28/2006,Grip: A Criminal's Story,12000,1336,1336
5376,4/28/2006,Clean,10000,138711,138711
155,05/05/06,Mission: Impossible III,150000000,397501348,133501348
1848,05/05/06,Wu ji,30000000,35869934,669625
2491,05/05/06,The Proposition,20000000,5313608,1903434
2901,05/05/06,Hoot,15000000,8224998,8117637
2983,05/05/06,An American Haunting,14000000,30443277,16298046
3649,05/05/06,Down in the Valley,8000000,973443,568932
3526,05/12/06,Black Christmas,9000000,16235738,16235738
236,5/19/2006,The Da Vinci Code,125000000,767820459,217536138
493,5/19/2006,Over the Hedge,80000000,343397247,155019340
3625,5/19/2006,See No Evil,8000000,18828036,15032800
4159,5/23/2006,High School Musical,4200000,0,0
4845,5/24/2006,An Inconvenient Truth,1000000,52769915,24146161
32,5/26/2006,X-Men: The Last Stand,210000000,459359555,234362462
5385,5/26/2006,Cavite,7000,71644,70071
2142,06/01/06,BloodRayne,25000000,3605420,2405420
3216,06/01/06,Fateless,12000000,196857,196857
4030,06/01/06,Grandma's Boy,5000000,6590172,6090172
4097,06/01/06,Hostel,4800000,82241110,47326473
2036,06/06/06,The Omen,25000000,119295584,54607383
402,06/10/06,The Departed,90000000,289660619,132384315
2734,06/10/06,The Texas Chainsaw Massacre: The Beginning,16000000,50517763,39517763
2999,06/10/06,Little Children,14000000,14121177,5463019
3346,06/10/06,Employee of the Month,10000000,38364855,28444855
4400,06/10/06,Love's Abiding Joy,3000000,252726,252726
459,6/16/2006,The Fast and the Furious: Tokyo Drift,85000000,157794205,62615510
857,6/16/2006,Garfield: A Tail of Two Kitties,60000000,147985373,28426747
1334,6/16/2006,The Lake House,40000000,114830111,52330111
1666,6/16/2006,Nacho Libre,32000000,99296462,80197993
5055,6/16/2006,Wordplay,500000,3177636,3121270
478,6/23/2006,Click,82500000,237685089,137355633
3435,6/23/2006,Krrish,10000000,32430721,1430721
4617,6/23/2006,Say Uncle,2000000,5361,5361
19,6/28/2006,Superman Returns,232000000,374085065,200120000
4578,6/28/2006,Strangers with Candy,2000000,2077844,2072645
4873,6/28/2006,Who Killed the Electric Car?,1000000,1849392,1678874
5200,6/28/2006,The Motel,250000,51540,51540
1516,6/30/2006,The Devil Wears Prada,35000000,326073155,124740460
5288,6/30/2006,The Blood of My Brother: A Story of Death in Iraq,120000,0,0
1535,07/04/06,The Benchwarmers,35000000,65063726,59843754
1788,07/04/06,Take the Lead,30000000,65390493,34742066
1948,07/04/06,Lucky Number Slevin,27000000,55495466,22495466
3808,07/04/06,Friends with Money,6500000,18110152,13368437
4367,07/04/06,Phat Girlz,3000000,7301115,7061128
4779,07/04/06,Simon,1300000,1738663,4055
23,07/07/06,Pirates of the Caribbean: Dead Man’s Chest,225000000,1066215812,423315812
2476,07/07/06,A Scanner Darkly,20000000,7405084,5501616
4900,07/07/06,Once in a Lifetime: the Extraordinary Story of the New York Cosmos,1000000,215559,144601
755,7/14/2006,Little Man,64000000,101636047,58636047
971,7/14/2006,You Me and Dupree,54000000,130402010,75802010
3460,7/14/2006,Edmond,10000000,241719,131719
4054,7/14/2006,The Oh in Ohio,5000000,648183,418689
592,7/21/2006,Monster House,75000000,141267370,73661010
601,7/21/2006,Lady in the Water,75000000,72785169,42285169
1804,7/21/2006,My Super Ex-Girlfriend,30000000,60772856,22530295
3981,7/21/2006,Clerks II,5000000,27342246,24148068
5246,7/21/2006,The Case of the Grinning Cat,200000,7033,7033
3600,7/26/2006,Little Miss Sunshine,8000000,100642353,59891098
208,7/28/2006,Miami Vice,135000000,163818556,63478838
1202,7/28/2006,The Ant Bully,45000000,49610898,28142535
4184,7/28/2006,Scoop,4000000,40103262,10525717
2393,08/09/06,The Covenant,20000000,38164784,23364784
3911,08/09/06,Tom yum goong,5700000,43044087,12044087
4596,08/09/06,Sherrybaby,2000000,759504,199176
4995,08/09/06,Iraq for Sale: The War Profiteers,775000,0,0
351,08/12/06,Blood Diamond,100000000,171377916,57377916
458,08/12/06,The Holiday,85000000,205190324,63280000
1338,08/12/06,Apocalypto,40000000,121032272,50866635
2099,08/12/06,Unaccompanied Minors,25000000,21970831,16655224
1648,8/18/2006,Snakes on a Plane,33000000,62020814,34020814
2719,8/18/2006,The Illusionist,16500000,83792062,39868642
3543,8/18/2006,Trust the Man,9000000,2548378,1530535
3660,8/18/2006,10th & Wolf,8000000,143782,54702
1327,8/25/2006,Invincible,40000000,58501127,57806952
2662,8/25/2006,Beerfest,17500000,20159316,19185184
2881,8/25/2006,Idlewild,15000000,12669914,12669914
4964,8/25/2006,The Quiet,900000,381420,381420
5163,8/25/2006,Old Joy,300000,399908,255923
636,09/06/06,Cars,70000000,461651246,244082982
3359,09/06/06,A Prairie Home Companion,10000000,26716191,20342852
727,09/08/06,World Trade Center,65000000,163295654,70278893
863,9/15/2006,The Black Dahlia,60000000,49238525,22672813
1780,9/15/2006,Gridiron Gang,30000000,41457834,38432823
4446,9/15/2006,Artie Lange's Beer League,2800000,475000,475000
4929,9/15/2006,Jimmy and Judy,1000000,0,0
869,9/22/2006,Flyboys,60000000,14816379,13090630
963,9/22/2006,All the King's Men,55000000,9521458,7221458
1629,9/22/2006,Bandidas,35000000,19282590,0
2647,9/22/2006,Renaissance,18000000,2401413,70644
3245,9/22/2006,Jackass: Number Two,11000000,85278712,72778712
3867,9/22/2006,La science des rêves,6000000,15137932,4670644
4326,9/22/2006,Feast,3200000,690872,56131
3847,9/27/2006,The Last King of Scotland,6000000,49155371,17606684
454,9/29/2006,Open Season,85000000,191932158,85105259
661,9/29/2006,The Guardian,70000000,94973540,55011732
2414,9/29/2006,School for Scoundrels,20000000,17807569,17807569
5296,9/29/2006,Facing the Giants,100000,10243159,10178331
2810,9/30/2006,The Queen,15000000,128885873,56441711
517,10/02/06,The Pink Panther,80000000,158926474,82226474
1040,10/02/06,Curious George,50000000,71052604,58640119
1051,10/02/06,Firewall,50000000,82751189,48751189
2037,10/02/06,Final Destination 3,25000000,112798051,54098051
4613,10/02/06,London,2000000,12667,12667
813,10/03/06,The Shaggy Dog,60000000,87123569,61123569
1022,10/03/06,Failure to Launch,50000000,128402901,88715192
2681,10/03/06,The Hills Have Eyes,17000000,70355813,41778863
1614,10/11/06,A Good Year,35000000,42064105,7459300
1775,10/11/06,Stranger Than Fiction,30000000,53572822,40435190
2715,10/11/06,FUR: An Imaginary Portrait of Diane Arbus,16800000,2281089,223202
3280,10/11/06,Copying Beethoven,11000000,6586324,355968
3889,10/11/06,Come Early Morning,6000000,119452,119452
4573,10/11/06,Harsh Times,2000000,6225304,3337931
1427,10/13/2006,Alex Rider: Operation Stormbreaker,40000000,20722450,659210
2353,10/13/2006,The Grudge 2,20000000,70743839,39143839
2358,10/13/2006,Man of the Year,20000000,41342180,37442180
2436,10/13/2006,One Night with the King,20000000,13725032,13395961
2864,10/13/2006,The Marine,15000000,22165608,18844784
3086,10/13/2006,Infamous,13000000,2613717,1151330
4103,10/13/2006,Driving Lessons,4700000,239962,239962
5148,10/18/2006,51 Birch Street,350000,84689,84689
983,10/20/2006,Flags of Our Fathers,53000000,63657941,33602376
1333,10/20/2006,The Prestige,40000000,104407366,53089891
1396,10/20/2006,Marie Antoinette,40000000,60862471,15962471
2859,10/20/2006,Flicka,15000000,21896367,21000147
3187,10/20/2006,Running With Scissors,12000000,8706701,6860000
2367,10/27/2006,Babel,20000000,132121212,34302837
3003,10/27/2006,Catch a Fire,14000000,5782198,4299773
3307,10/27/2006,Saw III,10000000,163876815,80238724
1602,11/08/06,Zoom,35000000,12506188,11989328
2305,11/08/06,Pulse,20500000,30241435,20264436
3133,11/08/06,Step Up,12000000,110989157,65328121
3289,11/08/06,Kabhi Alvida Naa Kehna,10750000,32575443,3275443
4256,11/08/06,Casa de Areia,3750000,1178175,539285
5012,11/08/06,Half Nelson,700000,4911725,2697938
5114,11/08/06,Conversations with Other Women,450000,1297745,379418
323,11/17/2006,Casino Royale,102000000,594420283,167365000
440,11/17/2006,Happy Feet,85000000,385000317,198000317
2994,11/17/2006,Bobby,14000000,20597806,11242801
3190,11/17/2006,For Your Consideration,12000000,5549923,5549923
4196,11/17/2006,Let's Go to Prison,4000000,4630045,4630045
4261,11/21/2006,The History Boys,3700000,13447998,2730296
526,11/22/2006,Déjà Vu,80000000,181038616,64038616
999,11/22/2006,Deck the Halls,51000000,46815807,35093569
1609,11/22/2006,The Fountain,35000000,15461638,10144010
3555,11/22/2006,Opal Dreams,9000000,14443,14443
3592,11/24/2006,Kurtlar vadisi - Irak,8300000,24906717,0
5168,12/04/06,Sisters in Law,300000,33312,33312
124,12/05/06,Poseidon,160000000,181674817,60674817
1654,12/05/06,Goal! The Dream Begins,33000000,27610873,4283255
1916,12/05/06,Just My Luck,28000000,38159905,17326650
3773,12/05/06,Wah-Wah,7000000,463039,234750
4037,12/05/06,Keeping Up with the Steins,5000000,4414753,4339241
4824,12/05/06,Dead Man's Shoes,1125000,414736,6408
345,12/15/2006,Eragon,100000000,249488115,75030163
479,12/15/2006,Charlotte's Web,82500000,143985708,82985708
587,12/15/2006,Dreamgirls,75000000,155708695,103365956
910,12/15/2006,The Pursuit of Happyness,55000000,307325633,162586036
1689,12/15/2006,The Good German,32000000,1308696,1308696
2557,12/15/2006,Indigènes,18900000,26063572,320700
2167,12/20/2006,Rocky Balboa,24000000,156229050,70269899
2524,12/20/2006,The Painted Veil,19400000,15118795,8060487
3066,12/20/2006,Letters from Iwo Jima,13000000,67867998,13756082
1226,12/21/2006,Man cheng jin dai huang jin jia,45000000,76904429,6566773
3872,12/21/2006,Venus,6000000,7818479,3347411
283,12/22/2006,Night at the Museum,110000000,579446407,250863268
736,12/22/2006,We Are Marshall,65000000,43545364,43545364
570,12/25/2006,Children of Men,76000000,69845011,35552383
1934,12/25/2006,Notes on a Scandal,27500000,50578411,17510118
757,12/27/2006,Perfume: The Story of a Murderer,63700000,133603463,2223293
1847,12/29/2006,Miss Potter,30000000,35891257,3005605
2735,12/29/2006,El Laberinto del Fauno,16000000,87041569,37634615
4315,12/29/2006,The Dead Girl,3300000,19875,19875
1270,12/31/2006,Les Bronzés 3: amis pour la vie,42000000,83833602,0
1964,12/31/2006,The Magic Flute,27000000,0,0
4926,12/31/2006,Loving Annabelle,1000000,5382,0
5085,12/31/2006,Fengkuang de Shitou,500000,3000000,0
1928,01/06/07,Knocked Up,27500000,219265952,148761765
3541,01/06/07,Gracie,9000000,3922043,2956339
4950,01/06/07,And Then Came Love,989000,8158,8158
4915,1/17/2007,Alone with Her,1000000,844377,10787
2351,1/26/2007,Epic Movie,20000000,86858578,39739367
2684,1/26/2007,Smokin' Aces,17000000,57263440,35662731
2915,1/26/2007,Blood and Chocolate,15000000,6551310,3526588
4078,1/30/2007,Farce of the Penguins,5000000,0,0
1438,02/02/07,Because I Said So,39000000,69538833,42674040
2737,02/02/07,The Messengers,16000000,53774833,35374833
3486,02/02/07,Partition,10000000,0,0
3760,02/02/07,Factory Girl,7000000,1661464,1661464
471,02/03/07,Zodiac,85000000,83080084,33080084
776,02/03/07,Wild Hogs,60000000,253555383,168213584
2892,02/03/07,Black Snake Moan,15000000,10951153,9396870
4709,02/05/07,Waitress,1500000,22217183,19097550
133,02/07/07,Transformers,151000000,708272592,319246193
159,02/11/07,Bee Movie,150000000,287594577,126631277
334,02/11/07,American Gangster,100000000,267985456,130164645
1958,02/11/07,The Martian Child,27000000,9352089,7500310
1339,2/14/2007,Music and Lyrics,40000000,146300356,50572589
259,2/16/2007,Ghost Rider,120000000,229545589,115802596
2020,2/16/2007,Bridge to Terabithia,25000000,137984788,82234139
1675,2/23/2007,The Number 23,32000000,77593167,35193167
3068,2/23/2007,The Astronaut Farmer,13000000,11141213,11003643
3360,2/23/2007,Reno 911!: Miami,10000000,21851362,20342161
1547,03/07/07,License to Wed,35000000,70187088,43799818
213,03/08/07,The Bourne Ultimatum,130000000,442161562,227471070
2112,03/08/07,Hot Rod,25000000,14334401,13938332
2720,03/08/07,Becoming Jane,16500000,39380876,18663911
3947,03/08/07,The Ten,5250000,786677,769726
4059,03/08/07,Gandhi My Father,5000000,1375194,240425
3896,03/10/07,Lake of Fire,6000000,26007,25317
4675,3/13/2007,Sublime,1800000,0,0
1431,3/16/2007,Nomad,40000000,79123,79123
2344,3/16/2007,Premonition,20000000,81461343,47852604
2992,3/16/2007,I Think I Love My Wife,14000000,13205411,12559771
3590,3/16/2007,The Wind That Shakes the Barley,8300000,25670174,1829142
831,3/23/2007,Shooter,60000000,95538560,47003582
1540,3/23/2007,TMNT,35000000,96096018,54149098
2406,3/23/2007,Reign Over Me,20000000,20081987,19661987
2860,3/23/2007,The Hills Have Eyes II,15000000,37466538,20804166
3587,3/23/2007,Namastey London,8400000,6831069,1207007
4772,3/23/2007,Journey from the Fall,1300000,635305,635305
769,3/30/2007,Blades of Glory,61000000,145594548,118594548
9,04/05/07,Spider-Man 3,258000000,890875303,336530303
966,04/05/07,Lucky You,55000000,6521829,5755286
3076,04/05/07,Paris je t'aime,13000000,5175088,4857374
3411,04/07/07,Rescue Dawn,10000000,7037886,5490423
3666,04/09/07,The Death and Life of Bobby Z,8000000,414617,0
2324,4/13/2007,Disturbia,20000000,118537627,80818974
2782,4/13/2007,Slow Burn,15500000,1237615,1237615
4997,4/13/2007,Aqua Teen Hunger Force Colon Movie Film for Theaters,750000,5520368,5520368
2743,4/20/2007,Hot Fuzz,16000000,81742618,23618786
3296,4/20/2007,In the Land of Women,10500000,14140402,11052958
3288,4/27/2007,Jindabyne,10800000,2862544,399879
3700,4/27/2007,Ta Ra Rum Pum,7400000,9443864,872643
1147,05/01/07,Happily N'Ever After,47000000,37923818,15849032
2291,05/01/07,Freedom Writers,21000000,43632609,36605602
2461,05/01/07,Code Name: The Cleaner,20000000,8135024,8135024
4510,05/01/07,Thr3e,2400000,1420418,1008849
1382,05/04/07,The Reaping,40000000,62226214,25126214
4734,05/09/07,I Want Someone To Eat Cheese With,1500000,194568,194568
2280,05/10/07,Michael Clayton,21500000,92987651,49033882
2939,05/10/07,The Good Night,15000000,22441,22441
5075,05/10/07,Finishing the Game,500000,53201,52850
3708,05/12/07,Juno,7000000,231450102,143495265
5271,5/16/2007,Once,150000,23344056,9445857
116,5/17/2007,Shrek the Third,160000000,807330936,322719944
3459,5/18/2007,Severance,10000000,5950002,137221
3655,5/18/2007,The Wendell Baker Story,8000000,127188,127188
3,5/24/2007,Pirates of the Caribbean: At World’s End,300000000,963420425,309420425
4193,5/25/2007,Bug,4000000,8302995,7006708
